The Great Beauty , http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1, Italy, €9,200,000, $2,835,886(USA)(11April2014), true
Antarctica: A Year on Ice , http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1, New Zealand, $1,000,000, $287,761(USA)(20March2015), false
The Act of Killing , http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1, UK, $1,000,000, $484,221(USA)(28February2014), false
Instructions Not Included , http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1, Mexico, $5,000,000, $44,456,509(USA)(6December2013), false
Spectre , http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1, UK, $245,000,000, $200,074,175(USA)(1April2016), false
Brooklyn , http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1, UK, $11,000,000, $38,317,535(USA)(20May2016), false
Mission: Impossible - Rogue Nation , http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1, China, $150,000,000, $195,000,874(USA)(23October2015), false
Desert Dancer , http://www.imdb.com/title/tt2403393/?ref_=fn_tt_tt_1, UK, $4,000,000, $143,653(USA)(8May2015), false
Woman in Gold , http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1, UK, $11,000,000, $33,305,037(USA)(7August2015), false
Philomena , http://www.imdb.com/title/tt2431286/?ref_=fn_tt_tt_1, UK, $12,000,000, $37,707,719(USA)(16May2014), false
Taken 3 , http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1, France, $48,000,000, $89,253,340(USA)(8May2015), false
Mr. Turner , http://www.imdb.com/title/tt2473794/?ref_=fn_tt_tt_1, UK, £8,200,000, $3,958,500(USA)(27March2015), true
The Second Best Exotic Marigold Hotel , http://www.imdb.com/title/tt2555736/?ref_=fn_tt_tt_1, UK, $10,000,000, $33,071,558(USA)(19June2015), false
Midnight Special , http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1, Greece, $18,000,000, $3,707,794(USA)(20May2016), false
Me Before You , http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1, UK, $20,000,000, $56,228,651(USA)(12August2016), false
The Secret Life of Pets , http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1, Japan, $75,000,000, $365,802,225(USA)(14October2016), false
Everest , http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1, UK, $55,000,000, $43,247,140(USA)(20November2015), false
Lucy , http://www.imdb.com/title/tt2872732/?ref_=fn_tt_tt_1, France, $40,000,000, $126,546,825(USA)(31October2014), false
