March of the Penguins , http://www.imdb.com/title/tt0428803/?ref_=fn_tt_tt_1, France, $8,000,000, $77,413,017(USA)(25November2005), false
An American Haunting , http://www.imdb.com/title/tt0429573/?ref_=fn_tt_tt_1, UK, $14,000,000, $16,298,046(USA)(21July2006), false
Basic Instinct 2 , http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1, UK, $70,000,000, $5,851,188(USA)(14April2006), false
Role Models , http://www.imdb.com/title/tt0430922/?ref_=fn_tt_tt_1, Germany, $28,000,000, $67,266,300(USA)(23January2009), false
Resident Evil: Extinction , http://www.imdb.com/title/tt0432021/?ref_=fn_tt_tt_1, France, $45,000,000, $50,648,679(USA)(26October2007), false
Daybreakers , http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1, Australia, $20,000,000, $29,975,979(USA)(5February2010), false
Undiscovered , http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1, Germany, $9,000,000, $1,046,166(USA)(2September2005), false
Conversations with Other Women , http://www.imdb.com/title/tt0435623/?ref_=fn_tt_tt_1, UK, $450,000, $379,122(USA)(3November2006), false
The Descent , http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1, UK, £3,500,000, $26,005,908(USA)(6October2006), true
The Giver , http://www.imdb.com/title/tt0435651/?ref_=fn_tt_tt_1, South Africa, $25,000,000, $45,089,048(USA)(5December2014), false
Good , http://www.imdb.com/title/tt0436364/?ref_=fn_tt_tt_1, UK, $15,000,000, $23,091(USA)(9January2009), false
The Queen , http://www.imdb.com/title/tt0436697/?ref_=fn_tt_tt_1, UK, £9,800,000, $56,437,947(USA)(11May2007), true
Catch a Fire , http://www.imdb.com/title/tt0437232/?ref_=fn_tt_tt_1, France, $14,000,000, $4,291,965(USA)(17November2006), false
Peaceful Warrior , http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1, Germany, $10,000,000, $1,055,654(USA)(18August2006), false
Slither , http://www.imdb.com/title/tt0439815/?ref_=fn_tt_tt_1, Canada, $15,500,000, $7,774,730(USA)(21April2006), false
The Painted Veil , http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1, China, $19,400,000, $8,047,690(USA)(20April2007), false
Sunshine , http://www.imdb.com/title/tt0448134/?ref_=fn_tt_tt_1, UK, £26,000,000, $3,675,072(USA)(12October2007), true
London , http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1, UK, £14,000, $12,667(USA)(10February2006), true
Babel , http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1, France, $25,000,000, $34,300,771(USA)(23March2007), false
Kabhi Alvida Naa Kehna , http://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1, India, INR 700,000,000, $3,275,443(USA)(22September2006), true
16 Blocks , http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1, Germany, $52,000,000, $36,883,539(USA)(19May2006), false
Blood Diamond , http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1, Germany, $100,000,000, $57,366,262(USA)(6April2007), false
Lady Vengeance , http://www.imdb.com/title/tt0451094/?ref_=fn_tt_tt_1, South Korea, KRW 4,200,000,000, $211,667(USA)(29September2006), true
Mr. Bean's Holiday , http://www.imdb.com/title/tt0453451/?ref_=fn_tt_tt_1, UK, $25,000,000, $32,553,210(USA)(12October2007), false
TMNT , http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1, Hong Kong, $34,000,000, $54,132,596(USA)(15June2007), false
Flyboys , http://www.imdb.com/title/tt0454824/?ref_=fn_tt_tt_1, UK, $60,000,000, $13,082,288(USA)(15December2006), false
How to Lose Friends & Alienate People , http://www.imdb.com/title/tt0455538/?ref_=fn_tt_tt_1, UK, $27,000,000, $2,775,593(USA)(5December2008), false
The Last King of Scotland , http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1, UK, $6,000,000, $17,605,861(USA)(18May2007), false
Australia , http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1, Australia, $130,000,000, $49,551,662(USA)(20March2009), false
Pan's Labyrinth , http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1, Spain, €13,500,000, $37,623,143(USA)(8June2007), true
Alex Rider: Operation Stormbreaker , http://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1, Germany, $40,000,000, $652,526(USA)(10November2006), false
Nacho Libre , http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1, Germany, $32,000,000, $80,197,993(USA)(1September2006), false
Scoop , http://www.imdb.com/title/tt0457513/?ref_=fn_tt_tt_1, UK, $4,000,000, $10,515,579(USA)(22September2006), false
Fido , http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1, Canada, $8,000,000, $298,110(USA)(6July2007), false
In the Name of the King: A Dungeon Siege Tale , http://www.imdb.com/title/tt0460780/?ref_=fn_tt_tt_1, Germany, $60,000,000, $4,535,117(USA)(18January2008), false
The Last Legion , http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1, UK, $35,000,000, $5,932,060(USA)(26October2007), false
28 Weeks Later , http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1, UK, $15,000,000, $28,637,507(USA)(10August2007), false
Freedom Writers , http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1, Germany, $21,000,000, $36,581,633(USA)(9March2007), false
The History Boys , http://www.imdb.com/title/tt0464049/?ref_=fn_tt_tt_1, UK, £2,000,000, $2,706,659(USA)(23February2007), true
The Orphanage , http://www.imdb.com/title/tt0464141/?ref_=fn_tt_tt_1, Spain, €3,400,000, $7,159,147(USA)(4April2008), true
Severance , http://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1, UK, £5,000,000, $136,432(USA)(22June2007), true
Hitman , http://www.imdb.com/title/tt0465494/?ref_=fn_tt_tt_1, France, $24,000,000, $39,687,528(USA)(7March2008), false
Notes on a Scandal , http://www.imdb.com/title/tt0465551/?ref_=fn_tt_tt_1, UK, $15,000,000, $17,508,670(USA)(18May2007), false
Max Payne , http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1, Canada, $35,000,000, $40,687,294(USA)(9January2009), false
The Other Boleyn Girl , http://www.imdb.com/title/tt0467200/?ref_=fn_tt_tt_1, UK, $35,000,000, $26,814,957(USA)(18April2008), false
The Host , http://www.imdb.com/title/tt0468492/?ref_=fn_tt_tt_1, South Korea, KRW 12,215,500,000, $2,201,412(USA)(6July2007), true
Tsotsi , http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1, UK, $3,000,000, $2,912,363(USA)(7July2006), false
Ex Machina , http://www.imdb.com/title/tt0470752/?ref_=fn_tt_tt_1, UK, $15,000,000, $25,440,971(USA)(28August2015), false
The Perfect Game , http://www.imdb.com/title/tt0473102/?ref_=fn_tt_tt_1, Canada, $12,500,000, $1,089,445(USA)(11June2010), false
