movie_title, movie_imdb_link, country, budget, gross, foreign_currency
Witchboard , http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1, UK, $2,000,000, $7,369,373(USA), false
Crocodile Dundee , http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1, Australia, $8,800,000, $174,635,000(USA), false
Highlander , http://www.imdb.com/title/tt0091203/?ref_=fn_tt_tt_1, UK, $16,000,000, $5,900,000(USA), false
Platoon , http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1, UK, $6,000,000, $137,963,328(USA), false
A Room with a View , http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1, UK, $3,000,000, $20,966,644(USA), false
Shanghai Surprise , http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1, UK, $17,000,000, $2,315,683(USA), false
Crocodile Dundee II , http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1, Australia, $14,000,000, $109,306,210(USA), false
Cry Freedom , http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1, UK, $29,000,000, $5,899,797(USA), false
Hellraiser , http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1, UK, $1,000,000, $14,564,027(USA), false
The Last Emperor , http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1, China, $23,000,000, $43,984,230(USA), false
The Living Daylights , http://www.imdb.com/title/tt0093428/?ref_=fn_tt_tt_1, UK, $30,000,000, $51,185,897(USA), false
Maurice , http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1, UK, $2,600,000, $3,130,592(USA), false
Superman IV: The Quest for Peace , http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1, UK, $17,000,000, $15,681,020(USA), false
Akira , http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1, Japan, JPY 1,100,000,000, $439,162(USA), true
The Blood of Heroes , http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1, Australia, AUD 10,000,000, $882,290(USA), true
Henry V , http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1, UK, $9,000,000, $10,161,099(USA), false
Licence to Kill , http://www.imdb.com/title/tt0097742/?ref_=fn_tt_tt_1, UK, $32,000,000, $34,667,015(USA), false
Two Evil Eyes , http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1, Italy, $9,000,000, $349,618(USA), false
JFK , http://www.imdb.com/title/tt0102138/?ref_=fn_tt_tt_1, France, $40,000,000, $70,405,498(USA), false
Quigley Down Under , http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1, Australia, $20,000,000, $21,413,105(USA), false
The Crying Game , http://www.imdb.com/title/tt0104036/?ref_=fn_tt_tt_1, UK, £2,300,000, $62,549,000(USA), true
The Lawnmower Man , http://www.imdb.com/title/tt0104692/?ref_=fn_tt_tt_1, UK, $10,000,000, $32,101,000(USA), false
Split Second , http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1, UK, $7,000,000, $5,430,822(USA), false
Fortress , http://www.imdb.com/title/tt0106950/?ref_=fn_tt_tt_1, Australia, $8,000,000, $6,739,141(USA), false
Much Ado About Nothing , http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1, UK, $11,000,000, $22,551,000(USA), false
The Piano , http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1, New Zealand, $7,000,000, $40,158,000(USA), false
The Remains of the Day , http://www.imdb.com/title/tt0107943/?ref_=fn_tt_tt_1, UK, $15,000,000, $22,954,968(USA), false
Romeo Is Bleeding , http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1, UK, $11,500,000, $3,275,585(USA), false
Shadowlands , http://www.imdb.com/title/tt0108101/?ref_=fn_tt_tt_1, UK, $22,000,000, $25,842,000(USA), false
Super Mario Bros. , http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1, UK, $42,000,000, $20,915,465(USA), false
Les visiteurs , http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1, France, FRF 50,000,000, $700,000(USA), true
