Jeepers Creepers , http://www.imdb.com/title/tt0263488/?ref_=fn_tt_tt_1, Germany, $10,000,000, $37,470,017(USA)(19October2001), false
Men with Brooms , http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1, Canada, $7,500,000, $4,239,767(USA)(20September2002), false
Basic , http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1, Germany, $50,000,000, $26,536,120(USA)(2May2003), false
Monsoon Wedding , http://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1, India, INR 7,000,000, $13,876,974(USA)(27September2002), true
Death to Smoochy , http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1, UK, $55,000,000, $8,355,815(USA)(3May2002), false
Spy Game , http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1, Germany, $115,000,000, $26,871(USA)(22February2002), false
K-19: The Widowmaker , http://www.imdb.com/title/tt0267626/?ref_=fn_tt_tt_1, UK, $100,000,000, $35,168,677(USA)(18October2002), false
Superbabies: Baby Geniuses 2 , http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1, Germany, $20,000,000, $9,109,322(USA)(1October2004), false
Kiss of the Dragon , http://www.imdb.com/title/tt0271027/?ref_=fn_tt_tt_1, France, $25,000,000, $36,833,473(USA)(12October2001), false
Johnny English , http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1, UK, $35,000,000, $27,972,410(USA)(19September2003), false
About a Boy , http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1, UK, $30,000,000, $40,566,655(USA)(12July2002), false
The Importance of Being Earnest , http://www.imdb.com/title/tt0278500/?ref_=fn_tt_tt_1, UK, $15,000,000, $8,378,141(USA)(27September2002), false
Spider , http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1, Canada, $8,000,000, $1,641,788(USA)(25July2003), false
Elling , http://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1, Norway, NOK 15,500,000, $313,436(USA)(4October2002), true
Bloody Sunday , http://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1, UK, £2,000,000, $768,045(USA)(17January2003), true
Amen. , http://www.imdb.com/title/tt0280653/?ref_=fn_tt_tt_1, France, FRF 103,000,000, $274,299(USA)(8August2003), true
Femme Fatale , http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1, France, $35,000,000, $6,592,103(USA)(6December2002), false
Gosford Park , http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1, UK, $19,800,000, $41,300,105(USA)(31May2002), false
The Guru , http://www.imdb.com/title/tt0280720/?ref_=fn_tt_tt_1, UK, $11,000,000, $3,034,181(USA)(11April2003), false
Iris , http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1, UK, $5,500,000, $1,292,119(USA)(7August2015), false
Wasabi , http://www.imdb.com/title/tt0281364/?ref_=fn_tt_tt_1, France, €15,300,000, $81,525(USA)(18October2002), true
Snow Dogs , http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1, Canada, $35,000,000, $81,150,692(USA)(7June2002), false
The Good Thief , http://www.imdb.com/title/tt0281820/?ref_=fn_tt_tt_1, France, $25,000,000, $3,517,797(USA)(18July2003), false
Van Wilder: Party Liaison , http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1, Germany, $6,000,000, $21,005,329(USA)(10May2002), false
Extreme Ops , http://www.imdb.com/title/tt0283160/?ref_=fn_tt_tt_1, UK, $40,000,000, $4,835,968(USA)(10January2003), false
