Exodus: Gods and Kings , http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1, UK, $140,000,000, $65,007,045(USA)(20February2015), false
Beyond the Black Rainbow , http://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1, Canada, CAD 1,100,000, $56,129(USA)(27July2012), true
The Divide , http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1, Germany, $3,000,000, $22,000(USA)(13January2012), false
The Guard , http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1, Ireland, $6,000,000, $5,359,774(USA)(3February2012), false
For Greater Glory: The True Story of Cristiada , http://www.imdb.com/title/tt1566501/?ref_=fn_tt_tt_1, Mexico, $12,000,000, $5,669,081(USA)(10August2012), false
A Dangerous Method , http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1, UK, €15,000,000, QuotesOttoItseemstomethemeasureofthetrueperversityofthehumanrace,thatoneofitsveryfewreliablypleasurableactivitiesshouldbethesubjectofsomuchhysteriaandrepression.Seemore», true
House at the End of the Street , http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1, Canada, $6,900,000, $31,607,598(USA)(14December2012), false
The Last Godfather , http://www.imdb.com/title/tt1584131/?ref_=fn_tt_tt_1, South Korea, $13,400,000, $163,591(USA)(15April2011), false
Of Gods and Men , http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1, France, €4,000,000, $3,950,029(USA)(1July2011), true
Lockout , http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1, France, $20,000,000, $14,291,570(USA)(18May2012), false
The Woman in Black , http://www.imdb.com/title/tt1596365/?ref_=fn_tt_tt_1, UK, $17,000,000, $54,322,273(USA)(27April2012), false
Albert Nobbs , http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1, UK, $8,000,000, $3,014,541(USA)(11May2012), false
Only God Forgives , http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1, Denmark, $4,800,000, $778,565(USA)(30August2013), false
Amour , http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1, France, $8,900,000, $225,377(USA)(27November2015), false
Midnight in Paris , http://www.imdb.com/title/tt1605783/?ref_=fn_tt_tt_1, Spain, $17,000,000, $56,816,662(USA)(16March2012), false
Rubber , http://www.imdb.com/title/tt1612774/?ref_=fn_tt_tt_1, France, $500,000, $98,017(USA)(10June2011), false
Headhunters , http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1, Norway, NOK 30,300,000, $1,196,752(USA)(10August2012), true
30 Minutes or Less , http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1, Germany, $28,000,000, $37,053,924(USA)(23September2011), false
Hobo with a Shotgun , http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1, Canada, $3,000,000, $703,002(USA)(5August2011), false
Skin Trade , http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1, Thailand, $9,000,000, $162(USA)(8May2015), false
The Names of Love , http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1, France, $4,600,000, $513,836(USA)(18November2011), false
The Impossible , http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1, Spain, $45,000,000, $18,996,755(USA)(12April2013), false
My Week with Marilyn , http://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1, UK, £6,400,000, $14,597,405(USA)(30March2012), true
The Artist , http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1, France, $15,000,000, $44,667,095(USA)(15June2012), false
Colombiana , http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1, France, $40,000,000, $36,665,854(USA)(28October2011), false
Sarah's Key , http://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1, France, €10,000,000, $7,691,700(USA)(2December2011), true
Stoker , http://www.imdb.com/title/tt1682180/?ref_=fn_tt_tt_1, UK, $12,000,000, $1,702,277(USA)(3May2013), false
Snowpiercer , http://www.imdb.com/title/tt1706620/?ref_=fn_tt_tt_1, South Korea, $39,200,000, $4,563,029(USA)(17October2014), false
The Last Days on Mars , http://www.imdb.com/title/tt1709143/?ref_=fn_tt_tt_1, UK, £7,000,000, $23,838(USA)(10January2014), true
Weekend , http://www.imdb.com/title/tt1714210/?ref_=fn_tt_tt_1, UK, £120,000, $469,947(USA)(18November2011), true
Shame , http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1, UK, $6,500,000, $4,000,304(USA)(20April2012), false
Before I Go to Sleep , http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1, UK, $22,000,000, $2,963,012(USA)(7November2014), false
Trollhunter , http://www.imdb.com/title/tt1740707/?ref_=fn_tt_tt_1, Norway, NOK 19,900,000, $252,652(USA)(16September2011), true
Blood Ties , http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1, France, $25,500,000, $41,229(USA)(28March2014), false
The Little Prince , http://www.imdb.com/title/tt1754656/?ref_=fn_tt_tt_1, France, $81,200,000, $1,339,152(USA)(10June2016), false
Silent House , http://www.imdb.com/title/tt1767382/?ref_=fn_tt_tt_1, France, $2,000,000, $12,555,230(USA)(6April2012), false
1911 , http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1, China, $18,000,000, $127,437(USA)(21October2011), false
Kill List , http://www.imdb.com/title/tt1788391/?ref_=fn_tt_tt_1, UK, £500,000, $26,297(USA)(2March2012), true
